system,sid,result,prefRes,comment
EXP-RANK,11482381,"[6, 6, 4, 4, 2]",oak bistro,thank you
EXP-RANK,36612384,"[6, 5, 5, 6, 6]",La Margherita,The chatbot is humanlike and I felt like talking to a human.
EXP-RANK,48952387,"[6, 6, 6, 6, 6]",The Oak Bistro,The chatbot was very competent and friendly.
EXP-RANK,37462390,"[6, 6, 6, 6, 6]",El mexicana,Chat bot was able to provide relevant results. Chat bot understood what I was looking for. Chat bot responded in a timely manner. Chat bot was helpful and provided me with the address when I asked for it. Chat bot was able to provide me at least 3 different results.
EXP-RANK,52762395,"[5, 5, 5, 4, 5]",Tradizioni,Thank you for the opportunity
EXP-RANK,28262398,"[6, 6, 6, 6, 6]",Nanna Mexico,-
EXP-RANK,13362397,"[6, 3, 6, 6, 6]",Eko Kitchen,The chatbot was very efficient.
EXP-RANK,48262400,"[4, 5, 6, 5, 5]",Loch Fyne,-
EXP-RANK,14362401,"[4, 4, 3, 2, 2]",Bedouin,-
EXP-RANK,38152415,"[3, 4, 3, 3, 4]",La Mimosa,It is good
EXP-RANK,46942416,"[5, 6, 6, 6, 6]",The Oak Bistro,-
EXP-RANK,22992417,"[5, 4, 4, 3, 4]",Tradizioni,-
EXP-RANK,57892418,"[6, 6, 6, 6, 6]",Galleria Restaurant,-
EXP-RANK,58102421,"[5, 5, 3, 2, 1]",The Sea Tree,No comments.
EXP-RANK,12742423,"[3, 4, 3, 3, 3]",cafe rouge,Cannot beat a real person to answer the phone
EXP-RANK,22922427,"[6, 5, 5, 4, 5]",Loch Fyne,-
EXP-RANK,29052428,"[5, 5, 4, 4, 4]",Franco Manca Cambridge,None.
EXP-RANK,31942426,"[6, 6, 6, 4, 6]",YamYam To Go,"Bot understood both Thai restaurants and my desire to find cheap Thai, and did that quickly and efficiently."
EXP-RANK,52702429,"[5, 5, 2, 3, 2]",Las Iguanas,-
EXP-RANK,33832431,"[5, 4, 5, 5, 4]",tradizioni,-
EXP-RANK,10072436,"[6, 5, 5, 5, 5]",The Oak Bistro,"Bot's recommendations seemed random at first, but then it started mentioning romantic atmosphere, which is what I was looking for. Found exactly what I wanted."
EXP-RANK,56302438,"[6, 6, 4, 3, 5]",Gattuso's Trattoria Pizzeria,"Bot didn't understand all of my questions, but did know I was looking for pasta, and helped me find a good restaurant that is known to serve pasta."
EXP-RANK,38812439,"[6, 6, 6, 6, 6]",The Ivy Cambridge Brasserie,-
EXP-RANK,30012441,"[6, 6, 4, 5, 4]",Arts Picturehouse,None.
EXP-RANK,44932443,"[6, 6, 6, 6, 6]",Pho,-
EXP-RANK,33552444,"[6, 6, 6, 5, 5]",The Dumpling Tree Bar & Restaurant,Went well.
EXP-RANK,41842445,"[3, 2, 1, 1, 1]",Pipasha,I asked about a buffet option and the bot did not understand or reply to the inquiry. A Google search is better.
EXP-RANK,51292461,"[4, 5, 1, 2, 1]",Tradizioni,"It seemed incapable of going back to previous restaurants. Once I got a restaurant name, I either had to completely skip it or only ask questions about that restaurant."
EXP-RANK,57332469,"[6, 6, 5, 4, 6]",Butch Annies,-
EXP-RANK,28082470,"[6, 6, 6, 6, 6]",Zizzi - Cambridge,-
EXP-RANK,10252472,"[6, 6, 6, 3, 6]",Nanna Mexico,-
EXP-RANK,25012481,"[4, 5, 3, 4, 3]",Seven Days,Chatbot did not give the address of my preferred restaurant.
EXP-RANK,52882482,"[6, 6, 6, 6, 6]",Honest Burgers,-
EXP-RANK,50562483,"[5, 5, 5, 5, 5]",Cambridge,-
EXP-RANK,24552484,"[4, 3, 3, 2, 3]",Wildwood Restaurant,-
EXP-RANK,26732487,"[6, 6, 6, 6, 6]",Zizzi,-
EXP-RANK,10182490,"[6, 6, 6, 6, 6]",SmokeWorks,-
EXP-RANK,53922494,"[6, 6, 6, 6, 5]",Yim Wah Express,-
EXP-RANK,59852493,"[2, 2, 1, 1, 1]",Nanna Mexico,The chatbot repeatedly ignored my requests and just kept giving me the same recommendation even when it didn't fit what I wanted.
EXP-RANK,49422496,"[6, 5, 6, 5, 6]",Tradizioni,-
EXP-RANK,53492500,"[2, 5, 1, 1, 1]",River Bar Steakhouse & Grill,The chatbot was really frustrating as it just could not understand my instructions regardless of how many times I repeated them.
EXP-RANK,50932501,"[3, 5, 3, 3, 3]",Unique Grilled,Not very natural
EXP-RANK,30252495,"[6, 4, 5, 5, 6]",Rocker's Steak House,-
EXP-RANK,32542503,"[4, 4, 6, 3, 4]",Las Iguanas,-
EXP-RANK,27322504,"[6, 6, 6, 4, 5]",De Luca,156 Hills Road
EXP-RANK,47182506,"[6, 6, 6, 6, 6]",Varsity,-
EXP-RANK,11822510,"[6, 6, 6, 6, 6]",Wildwood Restaurant,-
EXP-RANK,44062512,"[4, 2, 2, 4, 2]",46458,-
EXP-RANK,31842509,"[3, 5, 4, 3, 4]",The Oak Bistro,-
EXP-RANK,10072515,"[6, 6, 6, 5, 5]",Hot Numbers Coffee,-
EXP-RANK,11282516,"[3, 2, 1, 1, 1]",Tradizioni,The system had a hard time pivoting from one question to the next in a logical manner.
EXP-RANK,39882517,"[6, 6, 5, 5, 6]",River Bar Steakhouse & Grill,-
EXP-RANK,26412519,"[6, 6, 6, 6, 6]",The Olive Grove,-
EXP-RANK,32602521,"[6, 6, 6, 6, 6]",MillWorks,-
EXP-RANK,40232526,"[6, 6, 6, 6, 6]",Bella Italia,-
EXP-RANK,33922534,"[5, 5, 4, 4, 4]",Al Chile,-
EXP-RANK,19582537,"[3, 4, 5, 5, 5]",Charlie's Coffee Company & Pizzeria,-
EXP-RANK,34322540,"[1, 2, 1, 1, 2]",Curry Queen,"Bot had a ton of misunderstandings, and I'm not entirely sure it knew not to recommend seafood. Very clunky process."
EXP-RANK,25272546,"[2, 3, 3, 2, 1]",None,-
EXP-RANK,19412547,"[5, 5, 6, 5, 6]",Al Pomodoro,-
EXP-RANK,46062549,"[6, 6, 6, 5, 5]",Cambridge Chophouse,-
EXP-RANK,31242550,"[4, 6, 6, 4, 4]",Robin Hood,-
EXP-RANK,46872551,"[5, 5, 6, 5, 4]",Taj Tandoori,-
EXP-RANK,31962556,"[3, 3, 2, 3, 1]",Cambridge Chophouse,-
EXP-RANK,58822555,"[2, 2, 2, 1, 2]",Varsity,-
EXP-RANK,42022557,"[5, 5, 5, 5, 5]",Browns-Cambridge,-
EXP-RANK,35502558,"[6, 6, 3, 3, 4]",Cafe Rouge,-
EXP-RANK,52212560,"[5, 4, 3, 4, 4]",Hakka Seafood Chinese Restaurant,-
EXP-RANK,49222561,"[2, 3, 2, 2, 1]",Las Iguanas,-
EXP-RANK,36212562,"[6, 6, 6, 6, 6]",Six,-
EXP-RANK,17122566,"[5, 4, 5, 5, 5]",Honest Burgers,-
EXP-RANK,13362567,"[3, 2, 2, 2, 1]",Little Seoul,-
EXP-RANK,26932568,"[1, 1, 1, 1, 1]",none,-
EXP-RANK,25442570,"[6, 6, 6, 6, 6]",NONE,I have worked with countless AI chats before. This chat by far was the greatest !
EXP-RANK,33702572,"[6, 6, 5, 5, 5]",River Bar Steakhouse & Grill,-
EXP-RANK,42492573,"[6, 6, 6, 5, 6]",Mai Thai Restaurant,-
EXP-RANK,31422575,"[6, 6, 5, 5, 6]",Little Seoul,-
EXP-RANK,12362576,"[6, 6, 6, 6, 6]",Seven Day,-
EXP-RANK,26302581,"[5, 4, 4, 2, 2]",Midsummer House,The chatbot didn't seem to be able to address more than one request at a time; it could not really spit out recommendations that met two requests from my instructions.
EXP-RANK,42392583,"[4, 4, 5, 4, 4]",River Bar Steakhouse & Grill,-
EXP-RANK,24402584,"[6, 6, 6, 6, 6]",,-
RAND-RANK,10682382,"[3, 3, 2, 2, 1]",La Margherita,The bot doesn't seem to respond well
RAND-RANK,22532383,"[5, 5, 3, 2, 3]",La Margherita,None.
RAND-RANK,47512393,"[4, 6, 3, 2, 2]",The Rumbles Fish Bar & Kebabs,"It's frustrating that it doesn't typically respond properly to questions about restaurants you were previously talking about.  Like, ""Tell me again about XYZ restaurant,"" it struggles with, which is annoying."
RAND-RANK,44902391,"[5, 6, 4, 2, 2]",sala thong,the system felt very close minded and i had to repeat myself or start over in order to get what i wanted.
RAND-RANK,35062394,"[5, 6, 3, 2, 3]",Dulcedo Patisserie,-
RAND-RANK,26192396,"[4, 4, 5, 5, 4]",CAmBap,-
RAND-RANK,57302399,"[4, 5, 1, 1, 1]",The Catch Fish & Chips,"The system insulted me, in addition to being frustrating to use."
RAND-RANK,32552402,"[6, 6, 4, 4, 3]",Cambridge Mill Restaurant,"It worked pretty well but insulted me, which I didn't appreciate."
RAND-RANK,10312403,"[4, 4, 2, 2, 3]",The Mitre,"The chatbox has a limited ""vocabulary"", which could be expanded to accommodate more questions."
RAND-RANK,48642405,"[6, 5, 5, 5, 4]",Travellers Rest,None.
RAND-RANK,56752407,"[6, 5, 4, 5, 5]",orchid restaurant,-
RAND-RANK,38982408,"[4, 4, 3, 1, 1]",The Willow Tree,"Bot didn't really understand simple questions, like coming back to a restaurant it originally suggested and just asking more about it. The answers also just seemed like reviews from strangers. At one point bot told me about dining at a restaurant in 2010 with its 'hubby'."
RAND-RANK,36802410,"[5, 5, 4, 4, 3]",The Roof Terrace,Still not very reliable.
RAND-RANK,25542411,"[6, 6, 6, 6, 6]",Ed's easy diner,-
RAND-RANK,26242412,"[3, 3, 2, 2, 2]",La Mimosa,None.
RAND-RANK,27002414,"[3, 3, 1, 1, 1]",La Raza,"The first thing I asked was for a restaurant to take a child to, and it immediately responded with a bar and raved about the wine and beer. Clearly doesn't understand this requirement. Could use improvement."
RAND-RANK,43772420,"[3, 3, 4, 5, 5]",Prezzo - Cambridge is 32 Bridge Street,-
RAND-RANK,20562419,"[5, 5, 5, 4, 4]",Pizza Express,-
RAND-RANK,50382422,"[1, 1, 1, 1, 1]",Chai Walla,"Bot just seemed like it was giving completely random answers. Results had nothing to do with calm or quiet atmosphere, and was just randomly about good beer or a good place to take its ""boys"". Not helpful at all."
RAND-RANK,27662424,"[6, 6, 6, 5, 5]",Pipasha Restaurant,None.
RAND-RANK,28152432,"[6, 6, 6, 6, 6]",othersyde,-
RAND-RANK,34502433,"[2, 3, 2, 2, 2]",B.L.D's Italian,"I wanted a place that's good for to take my boss, and bot didn't seem to understand that. It was just recommending random cafes, and other places that hardly seem like a restaurant you'd take an important client or coworker/boss."
RAND-RANK,55912434,"[5, 5, 6, 5, 6]",The barley mow,-
RAND-RANK,24982437,"[6, 5, 5, 5, 4]",Travellers Rest,No issues.
RAND-RANK,37342440,"[6, 6, 6, 6, 6]",Gattuso's Trattoria Pizzeria,-
RAND-RANK,22712442,"[5, 6, 4, 1, 2]",Nanna Mexico,Chatbot is impatient and repetitive. Also doesn't give a lot of useful information for some of the restaurants
RAND-RANK,54832446,"[4, 2, 1, 1, 1]",Seafood Shake,I couldn't get it to find restaurants with the food I wanted.
RAND-RANK,30722464,"[4, 4, 3, 3, 4]",Nanna Mexico,-
RAND-RANK,11772466,"[6, 6, 6, 6, 6]",Garden Kitchen,-
RAND-RANK,49232465,"[6, 6, 5, 6, 6]",None,use this box to provide any additional comments you might have about the conversation and/or the chatbot in general.
RAND-RANK,53752467,"[5, 6, 3, 2, 2]",Kim's Bulgogi,"I tried to find a different type of food, Nigerian, but the system kept showing me Korean options"
RAND-RANK,37202468,"[6, 5, 5, 6, 6]",Pizza 1889,Very good AI.
RAND-RANK,32892474,"[6, 4, 4, 4, 3]",The Pantone Arms,-
RAND-RANK,29832475,"[6, 6, 6, 6, 6]",Cafe Luna,-
RAND-RANK,37762479,"[6, 6, 6, 6, 6]",La Margherita,-
RAND-RANK,21722478,"[4, 4, 4, 3, 4]",Lan Hong,Its informative
RAND-RANK,25512480,"[6, 5, 4, 2, 4]",Tamarind,-
RAND-RANK,29192488,"[1, 1, 1, 3, 1]",NONE,-
RAND-RANK,10102491,"[1, 1, 1, 1, 1]",None,-
RAND-RANK,12912485,"[6, 6, 6, 6, 6]",Hing Hung,-
RAND-RANK,42542497,"[5, 6, 6, 6, 6]",Chinese Canteen,-
RAND-RANK,50852498,"[5, 4, 4, 3, 3]",Las Iguanas,-
RAND-RANK,19622499,"[5, 5, 4, 4, 5]",Raja Restaurant,-
RAND-RANK,46742502,"[5, 5, 5, 4, 5]",The White Horse,-
RAND-RANK,19222505,"[6, 4, 4, 3, 2]",Varsity Restaurant,The system misunderstood me when I asked for a restaurant that wasn't too expensive. It thought I was asking for an expensive restaurant.
RAND-RANK,39632507,"[5, 5, 4, 5, 5]",La Piazza,-
RAND-RANK,53362511,"[5, 3, 3, 2, 2]",Rocker's Steak House,I didn't feel like the system could really handle more than what request at a time. I couldn't ask for a restaurant that was both upscale and in the downtown area - I had to make those requests individually.
RAND-RANK,46772508,"[6, 6, 5, 4, 5]",Crazy Tacos,-
RAND-RANK,57902513,"[4, 5, 4, 5, 6]",The White Horse,-
RAND-RANK,53562514,"[2, 1, 1, 1, 1]",La Mimosa,The chatbot couldn't understand what I wanted when I requested a vegan restaurant -- this was the most important of my instructions.
RAND-RANK,22152518,"[6, 6, 6, 6, 6]",Clayton Hotel Cambridge Restaurant,-
RAND-RANK,23452520,"[4, 6, 5, 5, 5]",Rocker's Steak House,-
RAND-RANK,26012523,"[6, 6, 6, 5, 5]",Rice Boat,None.
RAND-RANK,50592524,"[5, 5, 3, 3, 1]",Curry King,-
RAND-RANK,22002525,"[4, 5, 4, 4, 4]",Graffiti,-
RAND-RANK,30422527,"[4, 4, 2, 3, 4]",Arboretum Cafe,The thing got hung up when it recommended an Asian restaurant and I had to start over.
RAND-RANK,29812531,"[2, 5, 2, 2, 2]",The Cambridge Scotch Egg Company,-
RAND-RANK,14912533,"[3, 3, 4, 3, 4]",Cafe Rouge Cambridge,-
RAND-RANK,48272536,"[3, 2, 2, 3, 3]",Flying Pizza,-
RAND-RANK,32562538,"[3, 2, 2, 2, 2]",TZATZIKI,"A lot of terms like reservation and dining room , not understand by the chatbot"
RAND-RANK,56292539,"[4, 4, 5, 4, 4]",The Brook,-
RAND-RANK,17652541,"[6, 5, 6, 6, 6]",Faro,-
RAND-RANK,11522543,"[6, 5, 5, 3, 4]",The Plough Great Shelford,-
RAND-RANK,24772542,"[3, 3, 3, 4, 3]",Limoncello Delicatessen & Bistro,-
RAND-RANK,42672544,"[1, 1, 1, 1, 1]",None,-
RAND-RANK,11982545,"[2, 2, 1, 1, 1]",Yim Wah Express,The chatbot ignored my requests and wasn't responsive to them. I would never take my mom to Domino's Pizza for Mother's Day and their pizzas aren't gluten free at all.
RAND-RANK,19972554,"[1, 1, 1, 4, 1]",None,-
RAND-RANK,38402552,"[3, 6, 3, 6, 6]",Las iguanas,Chat bot responded in a timely manner. Was able to suggest and provide at least 3 different restaurants. Provided me with an address when I asked for it.
RAND-RANK,53152553,"[5, 4, 4, 5, 5]",Wagamama,-
RAND-RANK,59072559,"[6, 5, 6, 6, 1]",Station Tavern,-
RAND-RANK,17752563,"[6, 6, 6, 6, 6]",The Dumpling Tree Bar & Restaurant,-
RAND-RANK,16702565,"[6, 5, 4, 3, 3]",Stratore (not sure of spelling),-
RAND-RANK,12222564,"[4, 4, 4, 4, 3]",The Mitre,-
RAND-RANK,39852569,"[2, 2, 1, 1, 1]",Las Iguanas,The first two turns the bot returned irrelevant results.
RAND-RANK,18612571,"[4, 5, 6, 6, 6]",Water's EdgeGrill,-
RAND-RANK,40632574,"[5, 2, 3, 3, 1]",Pickwicks Sandwich Bar,-
RAND-RANK,21952577,"[4, 4, 5, 4, 4]",Stem + Glory,-
RAND-RANK,21992578,"[4, 4, 4, 5, 4]",Mee and I,-
RAND-RANK,37862579,"[1, 1, 1, 3, 1]",None,-
RAND-RANK,19262580,"[5, 5, 5, 6, 6]",Tradizioni at the Station,-
RAND-RANK,38302582,"[2, 3, 2, 3, 3]",The Edge Cafe?,-
SCHEMA,43612602,"[1, 2, 1, 1, 1]",NONE,System seemed to glitch and wouldn't give me any information after a while.
SCHEMA,13642603,"[6, 6, 6, 6, 6]",The Senate,-
SCHEMA,49302604,"[5, 4, 3, 4, 1]",ii Panzarotto,-
SCHEMA,10252605,"[2, 3, 2, 4, 2]",Prezzo,-
SCHEMA,58512606,"[6, 6, 5, 4, 4]",Gourmet House,None.
SCHEMA,47142608,"[5, 3, 4, 5, 5]",La Mimosa,-
SCHEMA,45542609,"[6, 6, 6, 6, 6]",Faro,-
SCHEMA,26332610,"[6, 6, 6, 6, 6]",Nooms,-
SCHEMA,13982611,"[5, 5, 5, 5, 5]",Crazy Tacos,-
SCHEMA,38462612,"[5, 5, 5, 4, 5]",Sticks'N'Sushi Cambridge,-
SCHEMA,15982613,"[5, 2, 3, 3, 2]",La Mimosa,-
SCHEMA,49372614,"[5, 5, 5, 5, 2]",Prezzo,-
SCHEMA,46832615,"[3, 2, 2, 3, 1]",Faro,-
SCHEMA,16612616,"[2, 2, 2, 2, 2]",La mimosa,-
SCHEMA,49412617,"[4, 4, 5, 5, 5]",Mr Taco Cambridge,-
SCHEMA,36142618,"[4, 5, 5, 5, 5]",Noodle Republic,-
SCHEMA,43722619,"[4, 2, 2, 3, 3]",China Chef,-
SCHEMA,55532620,"[5, 5, 4, 5, 5]",Faro,-
SCHEMA,14992622,"[3, 2, 2, 3, 2]",Nooms' Kitchen Thai Cuisine,-
SCHEMA,21312623,"[5, 5, 5, 4, 5]",Rocker's Steak House,-
SCHEMA,14572624,"[6, 6, 5, 6, 5]",Faro,none
SCHEMA,23112625,"[3, 2, 3, 2, 2]",Noodle Republic,-
SCHEMA,35332627,"[1, 1, 1, 1, 1]",none,-
SCHEMA,31022629,"[1, 1, 1, 1, 1]",NONE,The chatbot was a broken record and could not adapt any of its recommendations to my requests.
SCHEMA,20732630,"[5, 3, 2, 1, 1]",Tradizioni at Sorrento,The chatbot really struggled to understand language that was a little more colloquial and I had to repeat myself way too may times.
SCHEMA,24972631,"[1, 1, 1, 1, 1]",NONE,The chatbot needed me to repeat myself way too many times even though my requests weren't complicated at all.
SCHEMA,12132632,"[6, 5, 5, 4, 5]",Mr Taco Cambridge,The bot was easy to understand
SCHEMA,49602634,"[3, 5, 1, 1, 1]",Crazy Tacos,-
SCHEMA,54882636,"[1, 1, 1, 1, 1]",None,-
SCHEMA,44592635,"[4, 5, 2, 2, 2]",Curry Queen,When asked for the price range I was only told that it was cheap which is subjective.
SCHEMA,55512637,"[5, 6, 6, 6, 6]",Cook 4 me,-
SCHEMA,41892639,"[6, 6, 5, 6, 5]",,-
SCHEMA,53332640,"[1, 1, 1, 1, 1]",NONE,Couldnt find burger!
SCHEMA,18542641,"[6, 6, 6, 5, 6]",Curry Queen,It seemed to flow naturally.
SCHEMA,41312642,"[5, 4, 4, 4, 4]",Faro,-
SCHEMA,59762643,"[6, 6, 5, 6, 6]",Curry Queen,-
SCHEMA,27512644,"[5, 5, 6, 6, 4]",Maurizo Dining Co,-
SCHEMA,24572645,"[6, 6, 5, 5, 6]",,-
SCHEMA,48302646,"[5, 5, 6, 5, 5]",China Chef,-
SCHEMA,17072648,"[6, 6, 5, 5, 4]",Al Chile,-
SCHEMA,32342649,"[3, 3, 3, 3, 1]",72 China,-
SCHEMA,44332650,"[6, 6, 6, 6, 6]",Tzatki,-
SCHEMA,10012651,"[2, 2, 1, 1, 1]",Cook 4 me,-
SCHEMA,53262652,"[6, 6, 5, 6, 5]",Cook 4 me,-
SCHEMA,34432653,"[2, 2, 1, 1, 1]",Crazy Tacos,-
SCHEMA,28142654,"[5, 6, 3, 3, 2]",Wee Quiche Company,-
SCHEMA,48562657,"[2, 1, 1, 1, 1]",NONE,-
SCHEMA,46972658,"[5, 6, 6, 6, 4]",Golden crown chinese,-
SCHEMA,31592655,"[5, 4, 4, 5, 5]",,-
SCHEMA,52932656,"[3, 3, 3, 2, 2]",Prezzo - Cambridge,-
SCHEMA,56102660,"[3, 6, 3, 5, 6]",Bibimbap House.,-
SCHEMA,45912661,"[6, 6, 5, 5, 6]",Cook 4 Me,-
SCHEMA,13442659,"[4, 4, 1, 1, 1]",,-
SCHEMA,33462663,"[4, 4, 3, 5, 3]",Varsity,-
SCHEMA,35462662,"[6, 6, 6, 6, 5]",Tu Casa Tapas Restaurant,-
SCHEMA,25062664,"[3, 3, 2, 2, 2]",Sticks'N'Sushi Cambridge,-
SCHEMA,31302665,"[4, 4, 4, 5, 4]",TZATZIKI,-
SCHEMA,21592666,"[1, 1, 1, 1, 1]",NONE,-
SCHEMA,53512667,"[5, 6, 6, 6, 6]",Mr Taco Cambridge,-
SCHEMA,29192668,"[5, 4, 4, 5, 5]",Rocker's Steak House,-
SCHEMA,30792669,"[6, 6, 6, 6, 6]",Las Iguanas,-
SCHEMA,51732670,"[1, 1, 1, 1, 1]",NONE,-
SCHEMA,27162672,"[6, 6, 6, 6, 6]",Carluccios - Cambridge,-
SCHEMA,42652673,"[5, 5, 6, 6, 6]",Sushimania Cambridge,-
SCHEMA,33272675,"[6, 6, 3, 3, 1]",Arjuna Wholefoods,-
SCHEMA,17352676,"[1, 3, 2, 2, 2]",Sushimania Cambridge,Very not helpful
SCHEMA,37272678,"[6, 5, 6, 6, 5]",Il Panzarotto,-
SCHEMA,32442679,"[6, 6, 5, 3, 2]",La Mimosa,-
SCHEMA,20452681,"[5, 5, 6, 5, 6]",Corner House,-
SCHEMA,33902683,"[4, 4, 4, 2, 4]",Golden crown chinese takeaway,It is okay
SCHEMA,32502684,"[6, 6, 6, 6, 6]",Nivedyam,-
SCHEMA,41542688,"[3, 4, 3, 4, 3]",La Mimosa,-
SCHEMA,14382687,"[3, 3, 2, 2, 1]",Sticks N' Sushi,-
SCHEMA,39332690,"[1, 1, 2, 2, 1]",NONE,-
SCHEMA,13852689,"[5, 5, 1, 1, 1]",,-
SCHEMA,22672691,"[2, 3, 1, 1, 1]",Il Panzarotto,-
SCHEMA,19012692,"[5, 5, 5, 5, 4]",Nanna Mexico,-
SCHEMA,55462694,"[2, 2, 1, 1, 1]",Noodle Repulic,-
SCHEMA,46582695,"[6, 6, 6, 6, 6]",72.China,-
SCHEMA,25072696,"[2, 3, 1, 1, 1]",Cote Brasserie,-
SCHEMA,47462697,"[1, 1, 1, 1, 1]",,-
